epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
89,2267.22,0.31441,0.38332,0.36405,0.81744,0,0.9983,0.97716,0.98806,0.94797,0.98451,0.98198,0.98011,0.90127,0.23792,0.36028,0.28948,0.75854,0,0.000161,0.000161,0.000161
90,2293.42,0.32076,0.41892,0.3697,0.81732,0,0.98727,0.97821,0.98721,0.9552,0.96797,0.98198,0.97852,0.90458,0.23533,0.36521,0.29187,0.75853,0,0.000148625,0.000148625,0.000148625
91,2332.47,0.27078,0.38053,0.3851,0.79153,0,0.98691,0.98101,0.98721,0.95503,0.97804,0.97652,0.9785,0.90082,0.23715,0.36765,0.2979,0.75909,0,0.00013625,0.00013625,0.00013625
92,2364.27,0.26109,0.36125,0.35145,0.78668,0,0.98632,0.98052,0.98683,0.95529,0.97831,0.97713,0.97738,0.89636,0.24084,0.37229,0.32222,0.75986,0,0.000123875,0.000123875,0.000123875
93,2395.86,0.25875,0.33172,0.418,0.79264,0,0.98715,0.98078,0.98643,0.95438,0.97841,0.9761,0.97688,0.89921,0.24023,0.37091,0.33055,0.75917,0,0.0001115,0.0001115,0.0001115
94,2425.32,0.28053,0.39337,0.41055,0.7771,0,0.98818,0.98194,0.98587,0.95156,0.97868,0.97453,0.97605,0.90323,0.24573,0.36786,0.3135,0.75979,0,9.9125e-05,9.9125e-05,9.9125e-05
95,2453.14,0.26056,0.35621,0.35034,0.78538,0,0.98809,0.98222,0.98587,0.9497,0.97865,0.97407,0.97633,0.90225,0.24809,0.36661,0.30721,0.76115,0,8.675e-05,8.675e-05,8.675e-05
96,2482.11,0.25307,0.35038,0.35035,0.77391,0,0.98757,0.98222,0.98587,0.95014,0.97791,0.97373,0.97653,0.895,0.24609,0.36171,0.30542,0.76157,0,7.4375e-05,7.4375e-05,7.4375e-05
97,2511.08,0.26245,0.35712,0.36374,0.76618,0,0.98673,0.98222,0.98596,0.95179,0.97698,0.97386,0.97687,0.88907,0.24294,0.36028,0.30223,0.76062,0,6.2e-05,6.2e-05,6.2e-05
98,2538.23,0.24701,0.33094,0.33404,0.78783,0,0.98524,0.98222,0.98596,0.95273,0.97611,0.97429,0.97701,0.89093,0.2383,0.35986,0.30311,0.75925,0,4.9625e-05,4.9625e-05,4.9625e-05
99,2564.92,0.23473,0.32576,0.33784,0.77635,0,0.98592,0.98222,0.98634,0.95298,0.97651,0.97428,0.9776,0.89216,0.23546,0.35904,0.3008,0.75895,0,3.725e-05,3.725e-05,3.725e-05
100,2591.64,0.26764,0.35162,0.34882,0.77837,0,0.9869,0.98222,0.98655,0.952,0.97709,0.97434,0.97814,0.89841,0.2337,0.35893,0.29931,0.75897,0,2.4875e-05,2.4875e-05,2.4875e-05
